Segment_ID,State,County,Road_Type,Functional_Class,AADT,Truck_Percent,Speed_Limit,Lane_Count,Shoulder_Width_ft,Pavement_Type,Pavement_Age_yrs,Roughness_IRI,Rutting_mm,Faulting_mm,Cracking_Percent,Structural_Capacity,Surface_Distress_Index,Maintenance_History,Last_Maintenance_Year,Climate_Zone,Precipitation_mm,Freezing_Days,PCI,Rehabilitation_Cost_USD,Years_Since_Last_Rehab
21,IL,Duval,Urban,Minor Arterial,48299,9.14,35,1,9,Composite,35,171.21,12.23,1.46,31.01,4.73,61.06,Reconstruction,1994,Arid,1619.79,3,57.79,234276.75,31
22,NY,King,Urban,Minor Arterial,18073,8.05,55,2,6,Asphalt,30,138.75,13.92,2.89,45.13,2.06,11.93,Resurface,2001,Tropical,1021.43,70,96.18,496997.66,24
23,CA,Orange,State Highway,Minor Arterial,31682,22.99,45,1,4,Asphalt,32,130.18,6.85,3.1,38.42,1.6,92.4,Reconstruction,1996,Arid,569.78,59,23.76,139143.26,29
24,GA,Orange,Interstate,Local,15289,19.2,70,1,11,Composite,12,290.98,2.16,5.22,43.23,1.36,7.77,None,2002,Cold,574.54,11,25.42,241796.15,23
25,FL,Bexar,Interstate,Collector,8927,23.75,45,5,10,Composite,17,210.39,1.39,6.64,97.93,3.25,93,Reconstruction,1993,Temperate,473.03,58,0.04,1473016.74,32
26,IL,Cuyahoga,State Highway,Collector,49330,17.07,55,4,7,Concrete,40,55.86,11.78,3.81,8.86,1.46,70.71,Patch,1992,Tropical,1183.97,76,6.64,898394.25,33
27,IL,Orange,Urban,Principal Arterial,67707,14.47,25,1,6,Composite,23,157.54,10.41,7.19,92.22,1.56,32.97,Resurface,2001,Cold,1855.94,53,4.49,154188.28,24
28,CA,Cook,Rural,Principal Arterial,78454,6.19,35,2,4,Composite,8,268.75,14.84,3.36,48.02,2.2,39.08,Resurface,1990,Cold,1985.24,43,82.27,458179.89,35
29,GA,Fulton,State Highway,Collector,66428,18.43,35,3,7,Concrete,30,125.36,10.19,2.9,62.37,2.13,74.08,Reconstruction,2016,Continental,717.14,15,83.67,825596.03,9
30,FL,Fulton,Rural,Collector,51601,16.64,25,1,4,Concrete,40,73.64,8.45,5.41,83.02,3.42,60.15,Patch,2002,Continental,1455.17,5,72.67,82190.39,23
31,NY,Duval,Urban,Collector,78465,24.8,55,1,11,Concrete,9,239.6,7.96,0.24,36.05,4.27,67.16,None,2006,Cold,1274.78,13,35.27,116323.67,19
32,WA,Bexar,Interstate,Local,3539,9.78,35,2,7,Composite,1,201.5,0.53,0.8,43.04,4.05,38.92,Reconstruction,1997,Continental,1080.09,114,82.13,559648.11,28
33,FL,King,Urban,Collector,23669,15.61,55,4,5,Concrete,37,192.58,6.71,4.18,40.95,2.05,48.78,Resurface,2021,Temperate,1398.38,111,53.98,1146232.9,4
34,CA,Cuyahoga,State Highway,Principal Arterial,71968,18.02,70,1,3,Asphalt,14,63.39,19.52,9.43,37.47,1.98,98.99,Patch,2009,Temperate,868.45,57,30.43,171034.78,16
35,IL,King,Interstate,Local,21644,17.89,55,1,9,Asphalt,2,85.12,17.47,7.22,92.55,4.86,21.39,Resurface,2006,Continental,1900.07,30,43.73,143637.74,19
36,NY,Orange,State Highway,Collector,19745,16.23,45,4,5,Asphalt,42,205.64,6.59,0.88,82.89,1.03,41.79,Resurface,2023,Arid,1469.81,99,6.58,482781.81,2
37,FL,Bexar,State Highway,Principal Arterial,29228,20.54,25,2,10,Composite,30,101.96,11.76,8.46,10.9,4.52,29.18,Resurface,2024,Cold,1557.56,100,94.49,349375.77,1
38,WA,Duval,Urban,Local,35521,9.1,55,1,8,Asphalt,5,176.02,16.95,7.32,10.81,1.8,76.51,Resurface,2024,Temperate,636.36,40,61.91,283632.79,1
39,WA,King,State Highway,Collector,27928,19.51,70,4,3,Composite,2,186.22,8.83,6.11,42.79,4.79,76.4,None,2013,Continental,503.45,119,73.12,349809.63,12
40,TX,Cook,Urban,Collector,19322,17.39,65,1,5,Composite,10,120.88,0.36,8.2,9.87,2.37,29.24,Patch,2007,Continental,909.81,34,67.66,154957.66,18
41,TX,Fulton,Interstate,Collector,58714,22.92,25,3,6,Asphalt,14,287.11,1.49,4.04,61.91,2.76,8.14,Reconstruction,2022,Temperate,1580.01,117,66.77,833705.89,3
42,OH,Orange,Urban,Local,88896,21.94,35,5,4,Concrete,44,260.62,10.21,2.22,14.37,3.83,1.14,Patch,2012,Temperate,1889.83,9,1.73,686399.09,13
43,CA,Duval,Interstate,Principal Arterial,63292,11.3,45,3,10,Composite,27,230.59,19.39,5.12,52.24,3.35,42.75,Patch,2014,Arid,969.19,80,52.54,726061.06,11
44,GA,King,Urban,Principal Arterial,30055,10.52,35,1,6,Asphalt,9,69.5,13.86,5.49,0.72,2.27,41.03,Patch,2016,Continental,1593.48,114,82.17,147314.95,9
45,FL,Cuyahoga,Rural,Minor Arterial,43891,24.63,70,2,3,Composite,37,76.53,1.42,5.38,31.66,3.22,98.84,Reconstruction,1990,Continental,1046.73,105,4.45,502463.34,35
46,FL,Cook,Rural,Collector,82912,15.55,70,5,4,Concrete,46,173.2,3.79,5.65,67.72,3.92,46.98,Patch,2010,Tropical,731.41,29,95.62,1476252.94,15
47,GA,Cook,State Highway,Minor Arterial,7588,23.13,35,3,10,Concrete,49,90.18,15.43,9.49,48.4,1.17,25.64,Reconstruction,1999,Arid,1530.68,43,42.42,440866.51,26
48,OH,King,Urban,Minor Arterial,7304,8.28,25,4,8,Asphalt,49,294.57,16.83,9.02,97.83,1.04,89.12,Reconstruction,2020,Temperate,1636.76,54,28.99,1045098.65,5
49,IL,Fulton,Urban,Principal Arterial,8345,17.86,35,2,3,Composite,6,89.63,12.35,8.76,87.41,2.83,49.11,None,2014,Temperate,565.11,70,53.18,594208.41,11
50,IL,King,Interstate,Local,30300,21.2,55,3,10,Composite,14,171.87,12.89,8.01,35.91,1.53,59.92,Resurface,2009,Cold,749.31,17,80.12,887872.61,16
51,OH,Orange,State Highway,Local,25259,23.95,35,4,5,Composite,17,141.03,0.57,9.43,4.55,3.66,9.57,Reconstruction,1991,Temperate,1090.6,82,47.48,633771.08,34
52,IL,King,Urban,Principal Arterial,89553,11.75,45,1,10,Composite,17,209.85,16.57,0.98,84.56,1.86,38.29,Resurface,2004,Continental,535.74,78,64.51,171440.28,21
53,TX,Cook,State Highway,Local,16352,19.5,45,4,3,Asphalt,40,82.26,15.77,2.65,91.12,2.73,94.42,Patch,2017,Temperate,1871.9,102,49.99,503401.56,8
54,FL,Duval,Rural,Minor Arterial,34365,15.78,65,3,11,Concrete,23,157.58,5.18,4.95,82.06,1.79,58.95,Resurface,2002,Continental,1264.4,107,63.13,385514.07,23
55,OH,King,Urban,Collector,20446,6.21,45,3,5,Asphalt,1,118.68,14.17,8.47,12.79,3.19,34.45,Resurface,2003,Continental,418.17,85,13.8,519352.97,22
56,FL,Fulton,Urban,Principal Arterial,3336,18.8,35,1,6,Composite,39,271.94,4.3,5.05,99.79,1.46,62.57,Resurface,1991,Arid,531.25,38,3.87,100129.65,34
57,GA,Bexar,State Highway,Collector,63032,18.8,45,4,3,Composite,19,60.15,0.81,7.48,25.86,1.09,91.04,Patch,2023,Temperate,1917.84,41,13.69,911123.3,2
58,WA,Duval,Urban,Local,76415,23.61,25,4,11,Concrete,33,278.43,4.02,1.39,72.42,1.2,27.4,Patch,2024,Arid,1528.7,119,28.58,736308.53,1
59,TX,Cuyahoga,State Highway,Collector,8521,14.95,45,1,2,Composite,42,258.25,3.57,2.52,90.8,4.82,50.51,Reconstruction,2014,Continental,1521.93,53,25.34,274516.96,11
60,NY,Harris,Urban,Local,72707,9.61,55,4,8,Asphalt,25,124.39,6.75,7.32,23.57,1.57,95.87,Reconstruction,2004,Temperate,330.5,29,61.52,1010582.43,21
61,TX,King,Interstate,Local,24481,5.89,25,1,11,Asphalt,6,247.32,8.37,1.65,90.83,3.83,17.24,None,2001,Temperate,1811.54,19,45.59,130617.78,24
62,OH,Fulton,State Highway,Minor Arterial,19474,13.31,65,2,2,Concrete,37,57.8,10.17,3.51,30.95,1.27,71.97,Patch,1998,Arid,998.72,95,3.88,352902.31,27
63,NY,Duval,Urban,Local,47760,11.04,55,3,9,Asphalt,29,291.72,9.54,2.65,97.64,1.43,61.45,None,2020,Arid,1387.49,41,3.49,712886.2,5
64,WA,Fulton,Rural,Minor Arterial,56718,20.22,35,2,4,Asphalt,41,181.65,5.41,3.5,28.13,3.04,67.97,Patch,2003,Continental,1927.44,88,9.06,196600.06,22
65,OH,Cuyahoga,Urban,Minor Arterial,45629,12.09,35,5,11,Asphalt,4,125.82,0.58,7.08,95.34,2.86,35.12,Resurface,2018,Continental,380.02,86,35.31,289497.16,7
66,CA,Cook,Rural,Minor Arterial,46232,23.98,35,5,7,Asphalt,10,140.65,12.1,3.68,5.35,4.81,31.39,None,1997,Temperate,1068.1,4,0.62,1315380.66,28
67,FL,Fulton,Rural,Principal Arterial,87544,24.25,55,5,8,Composite,0,66.6,7.91,5.55,70.93,4.78,68.42,None,1992,Temperate,289.3,49,49.4,421937.82,33
68,WA,Duval,Interstate,Principal Arterial,68169,17.42,55,1,11,Asphalt,33,297.34,5.97,1,53.21,4.12,21.55,None,1991,Tropical,1099.18,40,36.07,272352.86,34
69,FL,Fulton,State Highway,Local,51669,23.57,55,4,2,Concrete,0,59.82,17.34,8.05,47.79,3.41,41.97,Patch,2005,Tropical,654.07,93,55.54,1113608.02,20
70,IL,Fulton,Urban,Minor Arterial,79021,20.22,25,2,7,Concrete,18,213.73,14.93,3.7,22.35,2.82,18.82,Reconstruction,2008,Cold,1839.92,111,72.08,330350.22,17
71,CA,Fulton,Interstate,Principal Arterial,70184,15.94,70,2,8,Asphalt,1,160.68,17.16,6.49,70.56,2.42,0.83,None,2019,Continental,917.29,38,25.1,503390.86,6
72,CA,Orange,Urban,Minor Arterial,48945,8.61,25,2,7,Concrete,20,287.23,9.9,7.25,19.08,4.79,97.01,Reconstruction,2005,Cold,1340.97,56,15.71,281595.62,20
73,WA,Orange,Rural,Collector,14140,14.17,35,2,5,Asphalt,19,111.5,2.62,2.1,55.28,3.41,43.17,Patch,2020,Cold,1748.52,90,27.81,529132.27,5
74,CA,Cook,State Highway,Collector,84457,16.22,70,5,2,Concrete,22,183.02,13.92,8.85,25.32,3.32,96.93,None,2017,Arid,1970.65,56,0.18,1280852.36,8
75,NY,King,Urban,Collector,15357,22.28,45,2,10,Concrete,20,170.59,4.12,6.16,95.56,1.93,14.03,Patch,1993,Arid,1106.87,105,12,139259.19,32
76,CA,Fulton,Urban,Local,69673,14.63,35,4,5,Asphalt,23,225.72,8.82,4.29,2.86,1.19,58.74,Reconstruction,1999,Tropical,1020.36,36,75.08,782601.74,26
77,FL,Cuyahoga,Rural,Minor Arterial,66633,22.95,65,5,8,Asphalt,3,67,1.3,1.82,19.97,4.78,20.1,Reconstruction,2007,Cold,336.33,6,22.28,1049998.63,18
78,FL,King,Urban,Collector,77943,18.49,25,2,8,Composite,11,98.45,16.51,9.42,24.23,2.25,79.01,None,2021,Tropical,222.93,4,99.43,100428.65,4
79,OH,Cuyahoga,Urban,Principal Arterial,79258,7.74,55,1,3,Asphalt,21,103.64,2.52,7.55,41.41,2.77,78.37,Reconstruction,2019,Continental,1295.84,78,16.78,294979.58,6
80,FL,King,Rural,Collector,13924,24.9,25,3,2,Asphalt,19,234.54,18.06,2.08,23.27,1.46,11.26,Resurface,1998,Temperate,317.84,50,78.88,454925.68,27
81,OH,Cook,Interstate,Collector,70286,15.54,55,3,9,Composite,17,97.28,17.28,3.38,49.13,4.35,91.21,Resurface,2018,Arid,884.68,105,70.5,538007.4,7
82,FL,Fulton,Rural,Collector,75071,12.84,70,3,9,Asphalt,0,193.37,9.29,8.1,87.25,1.11,19.46,None,2005,Continental,206.49,7,32.21,296103.06,20
83,NY,Fulton,Interstate,Local,58326,18.18,65,5,8,Asphalt,29,103.81,14.89,6.96,71.21,4.34,61.3,Patch,2017,Continental,1307.41,55,33.07,1013648.22,8
84,GA,Harris,State Highway,Principal Arterial,31651,7.18,70,2,9,Composite,32,265.41,12.39,7.66,58,1.56,98.56,Patch,2010,Arid,965.75,72,56.36,505309.93,15
85,OH,Cuyahoga,Interstate,Minor Arterial,71202,17.73,65,5,4,Asphalt,23,285.55,16.06,4.41,8.9,4.55,88.24,Patch,1991,Arid,428.64,10,85.24,982365.43,34
86,TX,King,Interstate,Principal Arterial,49777,14.96,25,4,3,Asphalt,13,179.62,8.64,7.16,69.4,3.92,95.66,Resurface,2024,Cold,733.46,21,38.62,988035.05,1
87,IL,King,State Highway,Minor Arterial,17994,13.13,55,1,8,Composite,35,138.08,15.72,3.86,16.64,1.66,34.26,Reconstruction,2017,Tropical,1225.39,97,6.12,232776.99,8
88,WA,Bexar,Interstate,Local,68263,24.06,70,1,9,Composite,4,108.51,9.25,2.11,78.64,3.26,10.56,Resurface,2020,Continental,1382.08,98,37.44,109414.45,5
89,FL,Bexar,Rural,Local,60634,15.45,65,3,2,Concrete,10,62.45,18.82,6.33,25.01,2.25,18.83,Reconstruction,2022,Cold,1032.2,76,20.73,476859.63,3
90,CA,Orange,Interstate,Local,11800,9.38,35,3,11,Asphalt,23,117.13,9.73,9.76,41.7,1.71,50.05,Resurface,2012,Cold,1647.13,10,93.92,261470.16,13
91,GA,Harris,State Highway,Local,38823,14.18,35,3,10,Concrete,30,213.56,9.25,3.11,35.05,4.44,79.32,Patch,2006,Continental,402.39,59,69.73,181451.91,19
92,FL,Duval,Rural,Minor Arterial,64878,23.39,70,2,5,Concrete,12,183.4,15.7,4.61,85.88,2.61,15.02,Patch,1990,Continental,352.18,95,5.08,131534.48,35
93,CA,Bexar,State Highway,Collector,19708,8.52,55,4,5,Composite,15,286.01,16.43,6.74,12.65,2.59,65.97,Patch,2012,Temperate,279.64,105,29.3,1142499.93,13
94,IL,Duval,State Highway,Minor Arterial,13819,9.28,70,4,4,Asphalt,23,149.07,11.09,5.42,56.56,1.68,32.36,None,2016,Tropical,1164.49,14,5.02,1184537.46,9
95,IL,Orange,Urban,Principal Arterial,75905,5.26,25,4,7,Asphalt,12,223.47,3.6,8.43,14.21,2.53,34.12,None,2014,Continental,1471.22,37,83,294977.51,11
96,IL,Orange,Urban,Local,64870,5.28,65,4,2,Composite,23,172.33,9.36,7.62,70.48,4.49,66.19,Reconstruction,2021,Arid,434.94,0,90.63,535193.44,4
97,CA,Orange,State Highway,Local,10283,21.59,25,3,7,Concrete,25,178.14,19.36,0.58,90.51,2.45,46.7,None,2008,Temperate,1350.1,45,11.23,235815.51,17
98,FL,Cuyahoga,State Highway,Principal Arterial,31573,19.64,35,1,3,Composite,1,116.94,15.06,9.98,43.46,4.81,81.2,Resurface,2013,Tropical,1058.51,113,44.03,258557.21,12
99,IL,Cuyahoga,State Highway,Minor Arterial,79707,12.1,65,3,10,Asphalt,15,163.74,16.22,7.52,48.81,4.79,15.59,Resurface,1992,Arid,1977.22,87,93.19,522222.82,33
100,NY,Cook,Urban,Collector,31933,18.97,70,4,3,Composite,37,167.7,0.66,8.64,92.74,1.58,78.99,Reconstruction,2001,Arid,1491.45,42,14.52,821261.76,24
101,OH,Cook,Urban,Collector,6774,12.9,25,3,8,Asphalt,45,226.66,9.36,6.51,52.1,1.71,6.42,Reconstruction,2024,Tropical,1383.45,103,29.19,554933.15,1
102,CA,Orange,Interstate,Principal Arterial,73055,24.06,45,4,2,Concrete,0,285.16,12.93,8.56,48.76,4.45,19.41,Patch,2004,Temperate,1226.81,21,30.43,910253.58,21
103,CA,Harris,Interstate,Collector,11983,24.34,55,5,8,Asphalt,48,132.33,16.6,1.12,57.83,2.57,65.61,None,2006,Arid,1995.26,2,3.01,648915.3,19
104,FL,King,State Highway,Minor Arterial,19133,12.86,55,1,6,Concrete,10,60.55,0.99,3.48,68.92,1.02,85.49,Patch,2021,Cold,1964.83,13,3.63,84373.34,4
105,CA,Cuyahoga,Rural,Minor Arterial,15939,22.08,45,5,9,Concrete,34,174.07,17.05,8.76,10.69,2.1,25.27,None,1996,Tropical,1168.61,1,95.28,272025,29
106,CA,Harris,Rural,Principal Arterial,1781,20.46,35,2,5,Asphalt,42,186.12,10.97,2.02,82.11,3.39,32.72,None,2008,Tropical,1019.33,60,57.11,322846.44,17
107,IL,Fulton,Urban,Minor Arterial,57700,11.2,65,3,11,Asphalt,28,92.11,3.95,0.78,43.55,4.2,53.71,Reconstruction,1996,Continental,1031.81,31,30.66,830875.82,29
108,FL,Cuyahoga,Urban,Local,28624,9.64,55,2,8,Concrete,36,240.12,6.35,7.88,7.23,1.53,21.16,Patch,1994,Temperate,971.02,111,37.87,252633.27,31
109,IL,Cuyahoga,Urban,Principal Arterial,7823,14.16,45,3,7,Composite,16,296.23,5.64,8.35,78.62,1.44,81.12,Patch,2010,Cold,1156.52,37,71.48,296967.62,15
110,OH,Cook,State Highway,Minor Arterial,19489,20.63,70,5,6,Asphalt,38,286.44,10.62,1.63,37.69,4.69,77.36,None,1996,Cold,692.45,96,36.65,1407553.43,29
111,GA,King,Rural,Principal Arterial,40961,24.2,45,4,5,Concrete,41,99.28,1.03,8.54,10.04,4,14.53,None,2012,Continental,1868.22,45,22.78,305448.64,13
112,OH,King,Interstate,Collector,30118,20.27,35,4,8,Concrete,27,268.84,3.17,6.87,63.38,3.36,46.38,Reconstruction,2000,Arid,1082.41,41,10.18,251801.03,25
113,GA,Bexar,State Highway,Minor Arterial,82816,22.1,35,3,6,Composite,28,226.12,16.25,5.2,88.01,4.08,77.48,Resurface,1999,Arid,1715.61,5,72.89,809559.88,26
114,IL,Duval,Interstate,Local,23263,17.06,25,4,6,Asphalt,42,163.46,2.65,8.3,88.78,2.72,33.73,Patch,2010,Cold,1055.55,40,18.06,900909.38,15
115,OH,Duval,Interstate,Minor Arterial,14565,21.71,55,5,2,Concrete,2,185.15,4.67,4.19,95.77,4.03,63.31,Patch,2022,Temperate,1492.92,102,6.96,777585.8,3
116,FL,Duval,State Highway,Principal Arterial,21354,20.69,25,4,3,Composite,9,262.4,9.07,1.94,86.77,2.49,5.02,Reconstruction,2009,Arid,806.39,24,42.7,952343.97,16
117,WA,Duval,Interstate,Principal Arterial,43951,12.54,45,5,6,Concrete,41,170.03,10.34,2.85,0.21,1.98,60.87,Reconstruction,2022,Tropical,1324.65,97,3.96,1176799.94,3
118,IL,Fulton,Rural,Minor Arterial,24648,16.04,65,2,4,Asphalt,13,143.3,15.27,5.05,38.02,3.92,15.27,Patch,2024,Continental,1097.07,10,96.5,120030.28,1
119,GA,Fulton,Interstate,Local,51729,21.1,65,5,3,Composite,11,173.31,8.95,5.31,81.85,2.68,83.06,Patch,2023,Temperate,860.81,109,62.73,1095308.52,2
120,NY,Cuyahoga,Rural,Local,42971,5.92,35,1,5,Concrete,46,194.78,15.8,8.06,36.63,4.93,35.54,None,2016,Arid,1786.8,100,15.27,210218.09,9
121,GA,Orange,Rural,Local,19658,21.16,65,1,5,Composite,41,97.27,12.37,7.91,60.15,2.4,28.16,Resurface,2008,Cold,402.88,40,17.25,290944.78,17
122,NY,Cook,Rural,Principal Arterial,22253,8.56,65,1,5,Asphalt,29,275.23,2.26,5.81,60.63,4.69,84.09,Patch,1994,Continental,1076.46,70,56.98,291655.65,31
123,CA,Cook,Urban,Minor Arterial,65166,15.29,65,3,5,Composite,31,218.55,3.13,7.81,36.5,4.73,5.01,Reconstruction,2018,Arid,549.86,56,35.66,433349.49,7
124,OH,Duval,Interstate,Collector,49563,21.17,45,3,4,Asphalt,31,208.32,8.74,1.92,90.45,1.97,39.66,None,1999,Cold,1749.9,45,77.43,592381.43,26
125,NY,Cuyahoga,State Highway,Principal Arterial,27390,10.08,65,3,8,Concrete,41,74.87,7.94,0.5,50.32,4.19,37,None,2002,Arid,656.24,111,54.58,256018.03,23
126,GA,Bexar,State Highway,Local,89664,9.92,70,5,10,Asphalt,31,201.04,14.87,8.74,46.48,2.73,28.48,Reconstruction,2018,Continental,1340.17,85,43.33,333070.66,7
127,CA,Harris,Interstate,Minor Arterial,52578,13.06,65,3,6,Concrete,25,80.24,11.61,0.76,99.75,4.67,91.18,Reconstruction,1994,Tropical,498.01,47,96.3,474584.9,31
128,WA,Orange,Urban,Local,80025,22.89,65,2,5,Concrete,0,69.67,7.76,2.47,49.35,2.8,75.09,None,2001,Tropical,928.84,62,39.07,444941.01,24
129,FL,Cuyahoga,Urban,Collector,33658,5.01,25,1,3,Asphalt,41,181.83,3.42,6.95,17.84,3.98,6.39,Reconstruction,2002,Cold,1818.84,38,40.06,191940.28,23
130,FL,Orange,Rural,Local,7852,23.03,45,5,3,Concrete,1,150.7,4.54,4.09,51.31,2.87,71.47,None,2011,Tropical,498.92,9,66.58,787071.15,14
131,FL,Orange,Interstate,Local,3551,8.08,35,1,6,Composite,16,197.2,11.51,8.76,81.4,1.91,52.73,Reconstruction,2004,Continental,1393.75,84,80.95,254528.14,21
132,NY,Orange,Interstate,Collector,72947,24.8,25,3,8,Concrete,29,72.31,8.47,2.98,77.69,1.8,90.09,None,2002,Cold,568.12,69,62.62,745820.6,23
133,WA,Cuyahoga,State Highway,Minor Arterial,62001,24.1,55,5,11,Asphalt,38,157.75,10.3,0.12,78.86,2.7,31.29,Patch,1990,Arid,948.35,112,69.86,1164927.57,35
134,NY,Duval,Interstate,Principal Arterial,50159,14.89,45,4,11,Composite,6,93.7,3.41,3.01,70.8,4.02,57.42,Patch,1990,Temperate,1173.11,64,37.29,277032.25,35
135,OH,Cook,Urban,Minor Arterial,52707,15.25,70,2,10,Composite,26,296.78,13.26,5.78,25.42,3.42,50.08,Reconstruction,2000,Arid,1239.15,97,47.95,498234.81,25
136,NY,Cook,Interstate,Collector,34243,14.63,45,3,8,Concrete,8,190.29,17.05,3.76,86.21,3.75,48.96,Resurface,2011,Continental,1284.52,58,19.7,839565.99,14
137,WA,Duval,State Highway,Local,22800,17.71,55,3,6,Concrete,21,221.86,5.16,5.35,89.34,2.13,45.61,Patch,2024,Cold,1352.24,77,68.02,194581.57,1
138,WA,Orange,Rural,Minor Arterial,76939,6.81,55,2,11,Asphalt,33,131.35,9.83,8.77,19.42,2.93,20.56,None,1995,Arid,689.18,35,22.15,300835.69,30
139,OH,Harris,State Highway,Principal Arterial,58828,5.65,55,2,11,Composite,45,73.68,19.51,9.12,13.05,1.18,75.57,Resurface,2017,Cold,922.46,26,0.13,594177.74,8
140,WA,King,State Highway,Collector,8239,6.15,35,4,11,Asphalt,48,293.97,6.66,2.66,97.56,4.27,45.13,None,2020,Tropical,267.17,72,93.38,799238.86,5
141,GA,Cuyahoga,Rural,Minor Arterial,7710,13.89,65,3,7,Concrete,0,121.56,11.9,4.62,86.83,4.96,95.85,None,1997,Temperate,1583.76,54,30.6,535183.05,28
142,WA,King,State Highway,Principal Arterial,22384,10.51,45,3,4,Composite,8,155.95,1.8,5.49,89.32,2.63,26.08,Patch,1994,Continental,1706.78,69,19.66,283084.61,31
143,FL,Bexar,State Highway,Collector,22038,17.44,65,1,6,Asphalt,19,212.47,12.12,9.49,88.64,1.04,68.27,Reconstruction,2006,Arid,558.63,94,26.81,191371.57,19
144,GA,Duval,Interstate,Principal Arterial,41846,24.85,65,5,9,Asphalt,18,56.17,1.79,9.99,54.17,1.68,94.07,Reconstruction,1998,Temperate,562.6,80,33.04,798804.08,27
145,GA,Harris,Interstate,Collector,88983,12.73,70,5,2,Asphalt,35,252.56,19.18,2.35,64.64,3.61,66.35,None,1999,Continental,275.67,52,47.45,409303.82,26
